PATH                            CLASS                       METHODS  OK XSRF SCOPE LOGIN AUTH_METHODS MIN USER_POLICY
/_dr/admin/createGroups         CreateGroupsAction          POST     n  n    app   n     INTERNAL,API APP ADMIN
/_dr/admin/createPremiumList    CreatePremiumListAction     POST     n  n    app   n     INTERNAL,API APP ADMIN
/_dr/admin/deleteEntity         DeleteEntityAction          GET      n  n    app   n     INTERNAL,API APP ADMIN
/_dr/admin/list/domains         ListDomainsAction           GET,POST n  n    app   n     INTERNAL,API APP ADMIN
/_dr/admin/list/hosts           ListHostsAction             GET,POST n  n    app   n     INTERNAL,API APP ADMIN
/_dr/admin/list/premiumLists    ListPremiumListsAction      GET,POST n  n    app   n     INTERNAL,API APP ADMIN
/_dr/admin/list/registrars      ListRegistrarsAction        GET,POST n  n    app   n     INTERNAL,API APP ADMIN
/_dr/admin/list/reservedLists   ListReservedListsAction     GET,POST n  n    app   n     INTERNAL,API APP ADMIN
/_dr/admin/list/tlds            ListTldsAction              GET,POST n  n    app   n     INTERNAL,API APP ADMIN
/_dr/admin/updatePremiumList    UpdatePremiumListAction     POST     n  n    app   n     INTERNAL,API APP ADMIN
/_dr/admin/verifyOte            VerifyOteAction             POST     n  y    admin n     INTERNAL,API APP ADMIN
/_dr/epptool                    EppToolAction               POST     n  y    admin n     INTERNAL,API APP ADMIN
/_dr/loadtest                   LoadTestAction              POST     y  n    app   n     INTERNAL,API APP ADMIN
/_dr/publishDetailReport        PublishDetailReportAction   POST     n  y    admin n     INTERNAL,API APP ADMIN
/_dr/task/generateZoneFiles     GenerateZoneFilesAction     POST     n  n    app   n     INTERNAL,API APP ADMIN
/_dr/task/killAllCommitLogs     KillAllCommitLogsAction     POST     n  n    app   n     INTERNAL     APP IGNORED
/_dr/task/killAllEppResources   KillAllEppResourcesAction   POST     n  n    app   n     INTERNAL     APP IGNORED
/_dr/task/refreshAllDomains     RefreshAllDomainsAction     GET      n  n    app   n     INTERNAL,API APP ADMIN
/_dr/task/resaveAllEppResources ResaveAllEppResourcesAction GET      n  n    app   n     INTERNAL,API APP ADMIN
/_dr/task/restoreCommitLogs     RestoreCommitLogsAction     POST     y  n    app   n     INTERNAL,API APP ADMIN
